columnist,article_id,url
Baz Bamigboye,3587c1cb3b85d116d9573897437fc4db,https://www.dailymail.co.uk/tvshowbiz/article-9041823/BAZ-BAMIGBOYE-day-Carey-Mulligan-thought-kill-Ralph-Fiennes.html
Craig Brown,f715796f2a4d8edb53fb92e733761483,https://www.dailymail.co.uk/debate/article-9037459/CRAIG-BROWN-Crowns-bit-fishy-Lady-Anne-Chovy.html
