columnist,homepage
Baz Bamigboye,https://www.dailymail.co.uk/tvshowbiz/columnist-1000601/Baz-Bamigboye-Daily-Mail.html
Craig Brown,https://www.dailymail.co.uk/home/books/columnist-1003951/Craig-Brown-Daily-Mail.html
