columnist,article_id,url
Fiona Mountford,fe79aefa1bd60228b8201cb0468d8eb5,https://inews.co.uk/opinion/captain-sir-tom-moore-british-fondness-benignly-pointless-things-charity-861507
Sarah Carson,6f497a48a652413f07b29cec8d8a2b99,https://inews.co.uk/opinion/columnists/nights-out-lockdown-bored-making-most-of-daytime-pandemic-walks-boredom-860122
